sample_id,condition_id,csv_row_id,source_pdf_path,npz_path,preview_path,extract_method,passed_quality,reason_codes,material_id,speed_rpm,temperature_c,r_bore_mm,r_outer_mm,z_width_mm,area_mm2,volume_mm3,min_thickness_mm,max_width_mm,sdf_zero_level_error_mm,semantic_hub_coverage,semantic_web_coverage,semantic_rim_coverage,mass_kg,polar_inertia_kg_mm2,sigma_vm_proxy_mpa,risk_score_proxy,dataset_version
F404_0001,C_Inco718_RPM11292_T650_OR252.89_BR67.5725,1,D:\sdfdata\F404HPT\data\raw\pdf\F404_0001.pdf,D:\sdfdata\F404HPT\data\processed\meridian_samples\F404_0001.npz,D:\sdfdata\F404HPT\data\reports\figures\pdf_contour_overlay\F404_0001.png,vector,FALSE,MULTI_INTERVAL_AT_R;WIDTH_MISMATCH,Inco718,11292,650,67.5725,252.89,75.984,8311.784697,7089931.393,12.60960336,100.5921998,0.227477643,0.512441069,0.374759909,0.112799022,58.06653811,1587956.467,58082.42813,10,sdf_meridian_v0.1
F404_0002,C_Inco718_RPM11292_T650_OR244.406_BR72.8505,2,D:\sdfdata\F404HPT\data\raw\pdf\F404_0002.pdf,D:\sdfdata\F404HPT\data\processed\meridian_samples\F404_0002.npz,D:\sdfdata\F404HPT\data\reports\figures\pdf_contour_overlay\F404_0002.png,vector,FALSE,MULTI_INTERVAL_AT_R;WIDTH_MISMATCH,Inco718,11292,650,72.8505,244.406,81.584,7544.961237,6416467.922,15.97579808,100.5921253,0.229843887,0.509525505,0.400783406,0.089691089,52.55087228,1361175.087,42819.74144,10,sdf_meridian_v0.1
F404_0003,C_Inco718_RPM11292_T650_OR252.47_BR69.1195,3,D:\sdfdata\F404HPT\data\raw\pdf\F404_0003.pdf,D:\sdfdata\F404HPT\data\processed\meridian_samples\F404_0003.npz,D:\sdfdata\F404HPT\data\reports\figures\pdf_contour_overlay\F404_0003.png,vector,FALSE,MULTI_INTERVAL_AT_R;WIDTH_MISMATCH,Inco718,11292,650,69.1195,252.47,76.976,7912.701135,6719717.593,12.41651841,100.592056,0.206041987,0.534965986,0.363446712,0.101587302,55.03448709,1522607.502,58789.88355,10,sdf_meridian_v0.1
F404_0004,C_Inco718_RPM11292_T650_OR246.506_BR66.6235,4,D:\sdfdata\F404HPT\data\raw\pdf\F404_0004.pdf,D:\sdfdata\F404HPT\data\processed\meridian_samples\F404_0004.npz,D:\sdfdata\F404HPT\data\reports\figures\pdf_contour_overlay\F404_0004.png,vector,FALSE,MULTI_INTERVAL_AT_R;WIDTH_MISMATCH,Inco718,11292,650,66.6235,246.506,85.712,7864.781065,6564438.506,14.6046807,100.2478935,0.191081905,0.541259428,0.382157362,0.076583211,53.76275136,1423598.864,47648.12324,10,sdf_meridian_v0.1
F404_0005,C_Inco718_RPM11292_T650_OR254.206_BR68.4695,5,D:\sdfdata\F404HPT\data\raw\pdf\F404_0005.pdf,D:\sdfdata\F404HPT\data\processed\meridian_samples\F404_0005.npz,D:\sdfdata\F404HPT\data\reports\figures\pdf_contour_overlay\F404_0005.png,vector,FALSE,MULTI_INTERVAL_AT_R;WIDTH_MISMATCH,Inco718,11292,650,68.4695,254.206,77.584,7907.667532,6787299.553,13.51471104,100.5921455,0.227269476,0.521192083,0.353262617,0.1255453,55.58798334,1560174.958,54758.01621,10,sdf_meridian_v0.1
F404_0006,C_Inco718_RPM11292_T650_OR246.59_BR69.1975,6,D:\sdfdata\F404HPT\data\raw\pdf\F404_0006.pdf,D:\sdfdata\F404HPT\data\processed\meridian_samples\F404_0006.npz,D:\sdfdata\F404HPT\data\reports\figures\pdf_contour_overlay\F404_0006.png,vector,FALSE,MULTI_INTERVAL_AT_R;WIDTH_MISMATCH,Inco718,11292,650,69.1975,246.59,80.944,7860.779056,6696896.057,16.43567552,100.5920903,0.178779755,0.510601719,0.420630372,0.068767908,54.8475787,1462722.584,42368.80736,10,sdf_meridian_v0.1
F404_0007,C_Inco718_RPM11292_T650_OR246.954_BR72.2135,7,D:\sdfdata\F404HPT\data\raw\pdf\F404_0007.pdf,D:\sdfdata\F404HPT\data\processed\meridian_samples\F404_0007.npz,D:\sdfdata\F404HPT\data\reports\figures\pdf_contour_overlay\F404_0007.png,vector,FALSE,MULTI_INTERVAL_AT_R;WIDTH_MISMATCH,Inco718,11292,650,72.2135,246.954,78.864,7421.572872,6366911.93,14.18720113,97.38227472,0.19874662,0.503658754,0.423300018,0.073041228,52.14500871,1413886.124,49228.6902,10,sdf_meridian_v0.1
F404_0008,C_Inco718_RPM11292_T650_OR254.878_BR67.4945,8,D:\sdfdata\F404HPT\data\raw\pdf\F404_0008.pdf,D:\sdfdata\F404HPT\data\processed\meridian_samples\F404_0008.npz,D:\sdfdata\F404HPT\data\reports\figures\pdf_contour_overlay\F404_0008.png,vector,FALSE,MULTI_INTERVAL_AT_R;WIDTH_MISMATCH,Inco718,11292,650,67.4945,254.878,72.688,8534.370663,7318090.508,15.21368774,104.4281748,0.250560273,0.515361085,0.373985902,0.110653012,59.93516126,1676933.503,48900.47522,10,sdf_meridian_v0.1
F404_0009,C_Inco718_RPM11292_T650_OR245.582_BR67.8065,9,D:\sdfdata\F404HPT\data\raw\pdf\F404_0009.pdf,D:\sdfdata\F404HPT\data\processed\meridian_samples\F404_0009.npz,D:\sdfdata\F404HPT\data\reports\figures\pdf_contour_overlay\F404_0009.png,vector,FALSE,MULTI_INTERVAL_AT_R;WIDTH_MISMATCH,Inco718,11292,650,67.8065,245.582,79.408,8003.425095,6549404.348,12.31192924,100.5920243,0.186155438,0.556486627,0.356851337,0.086662035,53.63962161,1362865.777,56098.31666,10,sdf_meridian_v0.1
F404_0010,C_Inco718_RPM11292_T650_OR244.798_BR69.5355,10,D:\sdfdata\F404HPT\data\raw\pdf\F404_0010.pdf,D:\sdfdata\F404HPT\data\processed\meridian_samples\F404_0010.npz,D:\sdfdata\F404HPT\data\reports\figures\pdf_contour_overlay\F404_0010.png,vector,FALSE,MULTI_INTERVAL_AT_R;WIDTH_MISMATCH,Inco718,11292,650,69.5355,244.798,80.816,7947.336114,6559466.219,12.97889942,100.5919289,0.205563621,0.542018982,0.377221743,0.080759275,53.72202833,1350284.249,52876.26135,10,sdf_meridian_v0.1
