sample_id,condition_id,csv_row_id,source_pdf_path,npz_path,preview_path,extract_method,passed_quality,reason_codes,material_id,speed_rpm,temperature_c,r_bore_mm,r_outer_mm,z_width_mm,area_mm2,volume_mm3,min_thickness_mm,max_width_mm,sdf_zero_level_error_mm,semantic_hub_coverage,semantic_web_coverage,semantic_rim_coverage,mass_kg,polar_inertia_kg_mm2,sigma_vm_proxy_mpa,risk_score_proxy,dataset_version,hub_r_end_mm,rim_r_start_mm,angle_web_deg,r_trans_bore_web_mm,z_min
sample_001,C_Inco718_RPM11292_T650_OR356_BR87.5,1,D:\sdfdata\data\raw\pdf\sample_001.pdf,D:\sdfdata\data\processed\meridian_samples\sample_001.npz,D:\sdfdata\data\reports\figures\pdf_contour_overlay\sample_001.png,vector,True,,Inco718,11292.0,650.0,87.5,356.0,96.3,10607.064983860048,11924590.75079916,14.803023157448305,96.30051832873474,0.291073199824761,0.3132070201573483,0.6183604115264653,0.0684325683161864,97.66239824904513,5077385.074502461,98046.58103611213,10.0,sdf_meridian_v0.1,122.033,329.55,3.236,88.8667,7.23
sample_002,C_Inco718_RPM11292_T650_OR356_BR87.5,2,D:\sdfdata\data\raw\pdf\sample_002.pdf,D:\sdfdata\data\processed\meridian_samples\sample_002.npz,D:\sdfdata\data\reports\figures\pdf_contour_overlay\sample_002.png,vector,True,,Inco718,11292.0,650.0,87.5,356.0,96.3,10869.4435914547,12374253.457535077,16.60490767448963,96.30051832873474,0.2848194924777254,0.2956051938617997,0.6144102424407518,0.0899845636974484,101.34513581721224,5396407.821963053,87407.03881274723,10.0,sdf_meridian_v0.1,121.033,320.65,3.212,97.0,8.15
sample_003,C_Inco718_RPM11292_T650_OR356_BR87.5,3,D:\sdfdata\data\raw\pdf\sample_003.pdf,D:\sdfdata\data\processed\meridian_samples\sample_003.npz,D:\sdfdata\data\reports\figures\pdf_contour_overlay\sample_003.png,vector,True,,Inco718,11292.0,650.0,87.5,356.0,96.3,11954.6433432906,13709756.439711224,19.764376643755533,96.30051832873474,0.2945321130555411,0.340581803177223,0.5908396946564886,0.0685785021662884,112.28290524123491,5920131.05930122,73434.43386790337,10.0,sdf_meridian_v0.1,129.833,326.15,3.452,80.3333,9.71
sample_004,C_Inco718_RPM11292_T650_OR356_BR87.5,4,D:\sdfdata\data\raw\pdf\sample_004.pdf,D:\sdfdata\data\processed\meridian_samples\sample_004.npz,D:\sdfdata\data\reports\figures\pdf_contour_overlay\sample_004.png,vector,True,,Inco718,11292.0,650.0,87.5,356.0,96.3,11032.388874377646,12641704.698444774,18.00675422544149,96.30051832873474,0.284577187255691,0.2817140812309894,0.6324923957774199,0.0857935229915906,103.5355614802627,5547337.857255147,80602.30019331061,10.0,sdf_meridian_v0.1,120.167,321.85,3.132,97.1333,8.85
sample_005,C_Inco718_RPM11292_T650_OR356_BR87.5,5,D:\sdfdata\data\raw\pdf\sample_005.pdf,D:\sdfdata\data\processed\meridian_samples\sample_005.npz,D:\sdfdata\data\reports\figures\pdf_contour_overlay\sample_005.png,vector,True,,Inco718,11292.0,650.0,87.5,356.0,96.3,11261.840412092064,12822181.194052389,18.040331214355504,96.30051832873474,0.2868839022332228,0.3141980718667835,0.6217353198948291,0.0640666082383873,105.01366397928906,5524410.930826873,80452.2817425473,10.0,sdf_meridian_v0.1,125.167,330.35,3.052,85.0,8.87
sample_006,C_Inco718_RPM11292_T650_OR356_BR87.5,6,D:\sdfdata\data\raw\pdf\sample_006.pdf,D:\sdfdata\data\processed\meridian_samples\sample_006.npz,D:\sdfdata\data\reports\figures\pdf_contour_overlay\sample_006.png,vector,True,,Inco718,11292.0,650.0,87.5,356.0,96.3,10874.444758190555,12365136.454149492,17.163309844830167,96.30051832873474,0.2851633076431845,0.2953184540010887,0.643894030121575,0.0607875158773362,101.27046755948432,5341210.667211837,84563.2819489871,10.0,sdf_meridian_v0.1,121.433,332.15,2.98,86.6,8.45
sample_007,C_Inco718_RPM11292_T650_OR356_BR87.5,7,D:\sdfdata\data\raw\pdf\sample_007.pdf,D:\sdfdata\data\processed\meridian_samples\sample_007.npz,D:\sdfdata\data\reports\figures\pdf_contour_overlay\sample_007.png,vector,True,,Inco718,11292.0,650.0,87.5,356.0,96.3,10643.84339471548,11972409.22687933,14.86280493939795,96.30051832873474,0.2876307048112193,0.3121698025766984,0.599128742237464,0.0887014551858374,98.05403156814172,5152464.207961921,97652.21406754134,10.0,sdf_meridian_v0.1,122.9,322.35,3.092,97.5333,7.29
sample_008,C_Inco718_RPM11292_T650_OR356_BR87.5,8,D:\sdfdata\data\raw\pdf\sample_008.pdf,D:\sdfdata\data\processed\meridian_samples\sample_008.npz,D:\sdfdata\data\reports\figures\pdf_contour_overlay\sample_008.png,vector,True,,Inco718,11292.0,650.0,87.5,356.0,96.3,11609.312131385392,13241715.32140577,18.917496342385316,96.30051832873474,0.2860142271370626,0.3229781989715694,0.6228379584378054,0.0541838425906251,108.44964848231324,5680617.418395638,76721.87605155334,10.0,sdf_meridian_v0.1,126.567,333.45,3.068,92.4667,9.31
sample_009,C_Inco718_RPM11292_T650_OR356_BR87.5,9,D:\sdfdata\data\raw\pdf\sample_009.pdf,D:\sdfdata\data\processed\meridian_samples\sample_009.npz,D:\sdfdata\data\reports\figures\pdf_contour_overlay\sample_009.png,vector,True,,Inco718,11292.0,650.0,87.5,356.0,96.3,10985.329686803094,12456157.648447426,16.04850854016436,96.30051832873474,0.2840600303405967,0.2923719301396309,0.6477798231042069,0.0598482467561621,102.01593114078442,5324960.297378113,90437.42637852224,10.0,sdf_meridian_v0.1,121.167,332.75,3.476,91.9333,7.87
sample_010,C_Inco718_RPM11292_T650_OR356_BR87.5,10,D:\sdfdata\data\raw\pdf\sample_010.pdf,D:\sdfdata\data\processed\meridian_samples\sample_010.npz,D:\sdfdata\data\reports\figures\pdf_contour_overlay\sample_010.png,vector,True,,Inco718,11292.0,650.0,87.5,356.0,96.3,11536.776846027964,13169377.74598938,17.410149918375716,96.30051832873474,0.285180189313624,0.3064757426800598,0.6170121820901903,0.0765120752297499,107.85720373965302,5674093.1282020025,83364.34875005412,10.0,sdf_meridian_v0.1,124.5,324.15,3.836,96.0667,8.51
