sample_id,condition_id,csv_row_id,source_pdf_path,npz_path,preview_path,extract_method,passed_quality,reason_codes,material_id,speed_rpm,temperature_c,r_bore_mm,r_outer_mm,z_width_mm,area_mm2,volume_mm3,min_thickness_mm,max_width_mm,sdf_zero_level_error_mm,semantic_hub_coverage,semantic_web_coverage,semantic_rim_coverage,mass_kg,polar_inertia_kg_mm2,sigma_vm_proxy_mpa,risk_score_proxy,dataset_version,hub_width,web_width,rim_width
sample_129,C_Inco718_RPM11292_T650_OR356_BR87.5,129,D:\sdfdata\data\raw\pdf\sample_129.pdf,D:\sdfdata\data\processed\meridian_samples\sample_129.npz,D:\sdfdata\data\reports\figures\pdf_contour_overlay\sample_129.png,vector,True,,Inco718,11292.0,650.0,87.5,356.0,96.3,11312.596752446763,12762597.252044609,16.271120119389913,96.30051832873474,0.2944761396223352,0.3317198674341531,0.6069684283969998,0.061311704168847,104.52567149424532,5398484.171180917,89200.11646012108,10.0,sdf_meridian_v0.1,39.8,203.45,25.25
sample_132,C_Inco718_RPM11292_T650_OR356_BR87.5,132,D:\sdfdata\data\raw\pdf\sample_132.pdf,D:\sdfdata\data\processed\meridian_samples\sample_132.npz,D:\sdfdata\data\reports\figures\pdf_contour_overlay\sample_132.png,vector,True,,Inco718,11292.0,650.0,87.5,356.0,96.3,12089.619331907452,13861599.468734063,19.34996172791273,96.30051832873474,0.2884268183873464,0.3192687505100792,0.625969150412144,0.0547620990777768,113.526499648932,5938567.273393368,75007.16693886502,10.0,sdf_meridian_v0.1,40.133,204.117,24.25
sample_146,C_Inco718_RPM11292_T650_OR356_BR87.5,146,D:\sdfdata\data\raw\pdf\sample_146.pdf,D:\sdfdata\data\processed\meridian_samples\sample_146.npz,D:\sdfdata\data\reports\figures\pdf_contour_overlay\sample_146.png,vector,True,,Inco718,11292.0,650.0,87.5,356.0,96.3,11014.557111444794,12379284.5233412,16.3096036046125,96.30051832873474,0.2905310849117029,0.3503159026750907,0.5754805753461487,0.0742035219787605,101.38634024616444,5273517.740236813,88989.64345005507,10.0,sdf_meridian_v0.1,40.667,198.683,29.149999999999977
sample_109,C_Inco718_RPM11292_T650_OR356_BR87.5,109,D:\sdfdata\data\raw\pdf\sample_109.pdf,D:\sdfdata\data\processed\meridian_samples\sample_109.npz,D:\sdfdata\data\reports\figures\pdf_contour_overlay\sample_109.png,vector,True,,Inco718,11292.0,650.0,87.5,356.0,96.3,11727.95896310849,13492348.167468635,19.37223403224036,96.30051832873474,0.2887932646269561,0.3015138772077376,0.6287216148023549,0.0697645079899074,110.50233149156811,5866432.490316926,74920.93101759569,10.0,sdf_meridian_v0.1,37.400000000000006,201.75,29.350000000000023
sample_144,C_Inco718_RPM11292_T650_OR356_BR87.5,144,D:\sdfdata\data\raw\pdf\sample_144.pdf,D:\sdfdata\data\processed\meridian_samples\sample_144.npz,D:\sdfdata\data\reports\figures\pdf_contour_overlay\sample_144.png,vector,True,,Inco718,11292.0,650.0,87.5,356.0,96.3,10380.89005316536,11625440.7146898,14.794051967755555,96.30051832873474,0.286800743847658,0.3198934956257132,0.6133510840623811,0.0667554203119056,95.21235945330946,4953200.833137697,98106.03699037788,10.0,sdf_meridian_v0.1,34.93300000000001,208.717,24.850000000000023
sample_046,C_Inco718_RPM11292_T650_OR356_BR87.5,46,D:\sdfdata\data\raw\pdf\sample_046.pdf,D:\sdfdata\data\processed\meridian_samples\sample_046.npz,D:\sdfdata\data\reports\figures\pdf_contour_overlay\sample_046.png,vector,True,,Inco718,11292.0,650.0,87.5,356.0,96.3,11233.051082160671,12589247.698264934,15.281051926880767,96.30051832873474,0.29242423096,0.3529954321855235,0.5799367533380183,0.0670678144764581,103.1059386487898,5288721.992909966,94979.4435966204,10.0,sdf_meridian_v0.1,41.80000000000001,199.95,26.75
sample_031,C_Inco718_RPM11292_T650_OR356_BR87.5,31,D:\sdfdata\data\raw\pdf\sample_031.pdf,D:\sdfdata\data\processed\meridian_samples\sample_031.npz,D:\sdfdata\data\reports\figures\pdf_contour_overlay\sample_031.png,vector,True,,Inco718,11292.0,650.0,87.5,356.0,96.3,10814.397166854744,12024077.265453212,14.4886550005628,96.30051832873474,0.2849291358823476,0.3566605839416058,0.5762773722627738,0.0670620437956204,98.4771928040618,5029339.021529088,100173.95055164344,10.0,sdf_meridian_v0.1,40.0,202.25,26.25
sample_023,C_Inco718_RPM11292_T650_OR356_BR87.5,23,D:\sdfdata\data\raw\pdf\sample_023.pdf,D:\sdfdata\data\processed\meridian_samples\sample_023.npz,D:\sdfdata\data\reports\figures\pdf_contour_overlay\sample_023.png,vector,True,,Inco718,11292.0,650.0,87.5,356.0,96.3,11102.76022321596,12509251.181195308,15.821686186284111,96.30051832873474,0.2895827837775216,0.3474011550422035,0.56499333629498,0.0876055086628165,102.45076717398956,5356404.778257272,91733.95253183648,10.0,sdf_meridian_v0.1,41.06700000000001,192.983,34.44999999999999
sample_016,C_Inco718_RPM11292_T650_OR356_BR87.5,16,D:\sdfdata\data\raw\pdf\sample_016.pdf,D:\sdfdata\data\processed\meridian_samples\sample_016.npz,D:\sdfdata\data\reports\figures\pdf_contour_overlay\sample_016.png,vector,True,,Inco718,11292.0,650.0,87.5,356.0,96.3,11694.42071799219,13383562.192381475,17.80509326277936,96.30051832873474,0.3026265052375799,0.3025649679379008,0.6250843739453257,0.0723506581167735,109.61137435560428,5763216.921958214,81515.2040017812,10.0,sdf_meridian_v0.1,37.533,201.017,29.94999999999999
sample_066,C_Inco718_RPM11292_T650_OR356_BR87.5,66,D:\sdfdata\data\raw\pdf\sample_066.pdf,D:\sdfdata\data\processed\meridian_samples\sample_066.npz,D:\sdfdata\data\reports\figures\pdf_contour_overlay\sample_066.png,vector,True,,Inco718,11292.0,650.0,87.5,356.0,96.3,11006.731049425634,12475742.166331572,15.55296277097171,96.30051832873474,0.280946826097466,0.321140398063475,0.5900125515510131,0.0888470503855119,102.17632834225556,5385113.930854008,93318.92777979822,10.0,sdf_meridian_v0.1,36.733,196.517,35.25
sample_012,C_Inco718_RPM11292_T650_OR356_BR87.5,12,D:\sdfdata\data\raw\pdf\sample_012.pdf,D:\sdfdata\data\processed\meridian_samples\sample_012.npz,D:\sdfdata\data\reports\figures\pdf_contour_overlay\sample_012.png,vector,True,,Inco718,11292.0,650.0,87.5,356.0,96.3,11399.530812695904,12903452.124020662,16.752019294439176,96.30051832873474,0.2893645751351634,0.3386119764624437,0.5759778470058844,0.0854101765316718,105.6792728957292,5527934.706186208,86639.45426973011,10.0,sdf_meridian_v0.1,40.93299999999999,193.017,34.55000000000001
sample_043,C_Inco718_RPM11292_T650_OR356_BR87.5,43,D:\sdfdata\data\raw\pdf\sample_043.pdf,D:\sdfdata\data\processed\meridian_samples\sample_043.npz,D:\sdfdata\data\reports\figures\pdf_contour_overlay\sample_043.png,vector,True,,Inco718,11292.0,650.0,87.5,356.0,96.3,11477.582025291336,12980171.370249003,15.955232412486229,96.30051832873474,0.2873443122048404,0.326958614465598,0.5990803214577335,0.0739610640766685,106.30760352233936,5514093.1363331545,90966.13399691848,10.0,sdf_meridian_v0.1,39.93300000000001,198.41700000000003,30.149999999999977
sample_147,C_Inco718_RPM11292_T650_OR356_BR87.5,147,D:\sdfdata\data\raw\pdf\sample_147.pdf,D:\sdfdata\data\processed\meridian_samples\sample_147.npz,D:\sdfdata\data\reports\figures\pdf_contour_overlay\sample_147.png,vector,True,,Inco718,11292.0,650.0,87.5,356.0,96.3,11793.281905136622,13653599.748069804,19.88005430706633,96.30051832873474,0.2982031015702249,0.2725372135808663,0.6472654290015053,0.0801973574176283,111.82298193669168,5990393.546271984,73007.1350494403,10.0,sdf_meridian_v0.1,33.599999999999994,200.85,34.05000000000001
sample_052,C_Inco718_RPM11292_T650_OR356_BR87.5,52,D:\sdfdata\data\raw\pdf\sample_052.pdf,D:\sdfdata\data\processed\meridian_samples\sample_052.npz,D:\sdfdata\data\reports\figures\pdf_contour_overlay\sample_052.png,vector,True,,Inco718,11292.0,650.0,87.5,356.0,96.3,11653.807392061304,13248627.718175553,18.49372264929894,96.30051832873474,0.2878884258693781,0.3402777777777778,0.6085704607046071,0.0511517615176151,108.50626101185776,5642282.787034308,78479.9165159546,10.0,sdf_meridian_v0.1,41.400000000000006,205.85,21.25
sample_028,C_Inco718_RPM11292_T650_OR356_BR87.5,28,D:\sdfdata\data\raw\pdf\sample_028.pdf,D:\sdfdata\data\processed\meridian_samples\sample_028.npz,D:\sdfdata\data\reports\figures\pdf_contour_overlay\sample_028.png,vector,True,,Inco718,11292.0,650.0,87.5,356.0,96.3,10699.509860082746,11954595.41267562,14.917851946609904,96.30051832873474,0.2820886780860109,0.3403882510259602,0.5890164614746162,0.0705952874994236,97.90813642981333,5057845.648006534,97291.87652355192,10.0,sdf_meridian_v0.1,38.133,203.317,27.05000000000001
sample_005,C_Inco718_RPM11292_T650_OR356_BR87.5,5,D:\sdfdata\data\raw\pdf\sample_005.pdf,D:\sdfdata\data\processed\meridian_samples\sample_005.npz,D:\sdfdata\data\reports\figures\pdf_contour_overlay\sample_005.png,vector,True,,Inco718,11292.0,650.0,87.5,356.0,96.3,11261.840412092064,12822181.194052389,18.040331214355504,96.30051832873474,0.2868839022332228,0.3141980718667835,0.6217353198948291,0.0640666082383873,105.01366397928906,5524410.930826873,80452.2817425473,10.0,sdf_meridian_v0.1,37.667,205.183,25.649999999999977
